"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_runtime_does_not_gate_declared_capabilities_on_action_identity","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Runtime","",""
"","1","test_install_registers_the_service","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Windows SCM backend","",""
"","0","test_start_is_idempotent_when_running","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Windows SCM backend","",""
"","7561","test_installer_script","Installer","Wed Jun 10 16:52:23 UTC 2026","passed","Wed Jun 10 16:52:30 UTC 2026","","Installer script","",""
"","923","test_help_lists_commands","Binary usage","Wed Jun 10 16:49:32 UTC 2026","passed","Wed Jun 10 16:49:32 UTC 2026","","CLI","",""
"","0","test_start_when_already_active_is_idempotent","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","0","test_systemctl_missing_raises_with_foreground_hint","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","0","test_uninstall_warns_on_real_disable_failure","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","0","test_install_restores_previous_plist_when_bootstrap_fails","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","launchd backend","",""
"","2","test_install_writes_unit_and_enables","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","6158","test_keys_list_empty","Binary usage","Wed Jun 10 16:51:13 UTC 2026","passed","Wed Jun 10 16:51:19 UTC 2026","","CLI","",""
"","0","test_unit_content_uses_current_python_and_pins_config_exit_code","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","0","test_chat_exits_on_slash_exit","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Chat runner","",""
"","2","test_agent_lists_skills_from_construction","Unit","Wed Jun 10 16:48:22 UTC 2026","passed","Wed Jun 10 16:48:22 UTC 2026","","Agent","",""
"","5908","test_help_lists_commands","Binary usage","Wed Jun 10 16:51:07 UTC 2026","passed","Wed Jun 10 16:51:13 UTC 2026","","CLI","",""
"","0","test_start_when_inactive_invokes_systemctl_start","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","0","test_daemon_reports_running_with_no_agents","Binary usage","Wed Jun 10 16:49:37 UTC 2026","passed","Wed Jun 10 16:49:37 UTC 2026","","Daemon lifecycle","",""
"","1","test_agent_config_round_trips_key_and_model","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Key config","",""
"","0","test_request_shutdown_is_idempotent","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Daemon core","",""
"","903","test_personas_list_shows_defaults","Binary usage","Wed Jun 10 16:49:40 UTC 2026","skipped","Wed Jun 10 16:49:41 UTC 2026","","Personas","",""
"","0","test_manifest_accepts_minimal_shape","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Manifest","",""
"","1","test_agent_manager_routes_messages_to_running_agent","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Daemon core","",""
"","0","test_start_when_already_active_is_idempotent","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","930","test_unknown_command_fails","Binary usage","Wed Jun 10 16:49:35 UTC 2026","passed","Wed Jun 10 16:49:36 UTC 2026","","CLI","",""
"","1","test_agent_manager_spawns_running_agent","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Daemon core","",""
"","0","test_runtime_routes_tool_calls_to_mcp_client","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Runtime","",""
"","0","test_daemon_command_uses_module_form_in_source_checkout","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","0","test_uninstall_quiet_when_unit_not_loaded","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","0","test_manifest_rejects_non_string_extension_skills","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Manifest","",""
"","1","test_chat_forwards_messages_to_responder","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Chat runner","",""
"","12","test_daemon_reports_running_with_no_agents","Binary usage","Wed Jun 10 16:51:42 UTC 2026","passed","Wed Jun 10 16:51:42 UTC 2026","","Daemon lifecycle","",""
"","0","test_unit_content_uses_current_python_and_pins_config_exit_code","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","0","test_start_when_already_active_is_idempotent","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","0","test_provider_factory_rejects_unknown_provider_type","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Providers (LiteLLM)","",""
"","1","test_manifest_accepts_declared_capabilities","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Manifest","",""
"","0","test_uninstall_removes_unit_and_disables","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","0","test_runtime_does_not_gate_declared_capabilities_on_action_identity","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Runtime","",""
"","1","test_parse_skill_requires_name","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Skills","",""
"","0","test_manifest_accepts_declared_capabilities","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Manifest","",""
"","1","test_skill_registry_rejects_unknown_skill","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Skills","",""
"","1","test_agent_lists_tools_through_runtime","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Agent","",""
"","0","test_start_when_inactive_invokes_systemctl_start","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","1749","test_action_planes_add_and_list","Binary usage","Wed Jun 10 16:49:33 UTC 2026","passed","Wed Jun 10 16:49:35 UTC 2026","","CLI","",""
"","2","test_install_restores_previous_unit_when_enable_fails","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","0","test_status_normalizes_active_to_running","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","2","test_manifest_rejects_unknown_fields","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Manifest","",""
"","0","test_status_stopped_when_loaded_without_pid","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","0","test_persona_registry_rejects_unknown_tag","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Personas","",""
"","1","test_manifest_rejects_unknown_fields","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Manifest","",""
"","0","test_daemon_command_uses_module_form_in_source_checkout","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","0","test_uninstall_removes_plist_and_boots_out","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","0","test_start_when_stopped_kickstarts","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","launchd backend","",""
"","0","test_static_provider_returns_configured_response","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Providers (LiteLLM)","",""
"","0","test_parse_skill_requires_name","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Skills","",""
"","0","test_provider_factory_rejects_unknown_provider_type","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Providers (LiteLLM)","",""
"","0","test_manifest_rejects_non_string_extension_skills","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Manifest","",""
"","0","test_request_shutdown_is_idempotent","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Daemon core","",""
"","11973","test_action_planes_add_and_list","Binary usage","Wed Jun 10 16:51:19 UTC 2026","passed","Wed Jun 10 16:51:31 UTC 2026","","CLI","",""
"","0","test_status_normalizes_inactive_to_stopped","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","1","test_keys_config_for_provider_filters_by_type","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Key config","",""
"","0","test_agent_uses_mcp_for_requested_tool_call","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Agent","",""
"","0","test_static_provider_returns_configured_response","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Providers (LiteLLM)","",""
"","0","test_launchctl_missing_raises_with_foreground_hint","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","2","test_agent_uses_mcp_for_requested_tool_call","Unit","Wed Jun 10 16:48:22 UTC 2026","passed","Wed Jun 10 16:48:22 UTC 2026","","Agent","",""
"","0","test_uninstall_removes_plist_and_boots_out","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","launchd backend","",""
"","0","test_agent_manager_reports_unknown_agent","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Daemon core","",""
"Shutdown requested before serve_forever should make serve_forever a no-op
    instead of blocking on the never-initialized shutdown event.","0","test_request_shutdown_before_serve_does_not_deadlock","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Daemon core","",""
"","0","test_chat_exits_on_slash_exit","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Chat runner","",""
"","0","test_skill_registry_loads_named_skill","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Skills","",""
"","0","test_agent_manager_reports_unknown_agent","Unit","Wed Jun 10 16:48:22 UTC 2026","passed","Wed Jun 10 16:48:22 UTC 2026","","Daemon core","",""
"","0","test_agent_uses_provider_for_normal_messages","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Agent","",""
"","0","test_parse_skill_reads_frontmatter_and_instructions","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Skills","",""
"","0","test_agent_lists_skills_from_construction","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Agent","",""
"","1","test_status_not_installed_when_list_fails","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","launchd backend","",""
"","0","test_plist_content_includes_label_and_program_args","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","0","test_status_stopped_when_loaded_without_pid","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","launchd backend","",""
"","2","test_agent_manager_spawns_running_agent","Unit","Wed Jun 10 16:48:22 UTC 2026","passed","Wed Jun 10 16:48:22 UTC 2026","","Daemon core","",""
"","0","test_key_config_round_trips","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Key config","",""
"","0","test_chat_shows_hint_on_empty_message","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Chat runner","",""
"","0","test_prompt_assembler_separates_agent_name_from_persona","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Prompt assembly","",""
